,puissance,f0,excursion,LI,c0Montant,c1Montant,c2Montant,dureeTransitoireMontant,aucMontant,penteMaxMontant,meanMontant,varianceMontant,skewnessMontant,kurtosisMontant,dureeTransitoireStable,aucStable,penteMaxStable,meanStable,varianceStable,skewnessStable,kurtosisStable,c0Descendant,c1Descendant,c2Descendant,dureeTransitoireDescendant,aucDescendant,penteMaxDescendant,meanDescendant,varianceDescendant,skewnessDescendant,kurtosisDescendant,numEmetteur,numFenetre,navire
1648,-92.5,422.5,26.0,1085.0,-34336626951.956818,-60106269.65168027,-26304.006215322286,2.031249999999863e-07,4.309801454249713,0.00014501080810990549,-0.6231672066089501,-0.8001603206981707,0.0013261401463463144,2.129884817416412e-07,4.350343750000006e-05,1120.3753260732199,0.00013719861250502548,-0.2539944155408586,0.28783511367930004,0.0016096075284746656,1.361953107542798e-09,-341461891.7165388,-497887.30214457837,-181.49106934518434,1.6964374999999107e-06,41.96140656083574,0.00037051573586303335,-0.613192316900987,-0.7809661825102281,0.0015459421069197986,1.0398252967920504e-07,1648,,1
1649,-92.5,434.5,17.0,1115.0,-1197275443211.0784,-2189738167.436609,-1001221.8289807878,2.7937499999931663e-08,0.3719681281926972,1.70366891566572e-05,-0.597341731934813,-0.9687131118223617,0.0008320332406348326,1.0083604974923935e-07,5.560999999999956e-06,195.95496093351449,0.00020306917460213457,-0.7975724953094413,1.1969699808058856,0.0022023349218143994,1.798640837084556e-09,782979147676.1747,1431942901.704955,654698.3019251607,2.812500000004981e-08,0.22169111745526698,0.00022520715233304023,0.2406031818724999,-1.2208630931971975,0.0004932095735869585,1.0121792117074499e-07,1649,,1
1650,-92.5,431.5,24.5,1100.0,854323730234.8376,1562589552.8516803,714508.4539801889,2.812499999994139e-08,0.22129492846556809,0.00013247669408077926,0.24501487279532388,-1.225823171993692,0.0004926720272164011,1.015437338328011e-07,5.937499999910528e-09,0.11800704944957632,4.173794116786871e-05,-2.6721684003517003,7.751566147071028,0.0012408254106315855,1.2169865128632006e-09,-21165012285.514706,-36999072.41217149,-16169.742572173871,2.6312500000006366e-07,5.7521531603931955,0.00018118649343610487,-0.6717856389892486,-0.6637577681744866,0.0013662349422057026,2.0185636398933422e-07,1650,,1
1651,-92.5,431.5,15.5,1100.0,-11976470.757268867,-14732.991795806001,-4.529447872425462,6.378187500000036e-06,130.85412848520465,4.106219131947732e-05,-0.4803463051854119,-0.9247522849451557,0.001282242391573568,3.7760874624454006e-08,1.2004375000000157e-06,38.87030760782177,8.707015223422964e-05,-0.5048328287371345,0.4798660843460465,0.002023746700673916,2.2227133095334115e-09,822699502338.1329,1504596001.089086,687921.0210249212,4.625000000005059e-08,0.30342638967256713,0.00017889796074821066,0.599304261159785,-1.2890347237516897,0.00041033917299248727,1.6538617101492288e-07,1651,,1
1652,-77.5,433.0,26.0,1095.0,-15665805.573609907,-19299.367588742643,-5.94237200729268,5.7191874999999595e-06,115.3728091075971,1.1177313456045643e-05,-0.48814214193474187,-0.8479912261966263,0.0012608081564823713,4.5349198039612e-08,1.0570000000000544e-06,34.39509370993637,0.0001389825616250203,-0.06262929254429471,-0.12599462740995548,0.002033764666457552,1.4812896496451822e-09,-11981721.686493436,-13777.00066485063,-3.958777306203819,6.378187500000036e-06,130.8541530814329,7.993714569979877e-05,-0.48034010885603123,-0.9248235631020338,0.0012822416674181537,3.7761022909555344e-08,1652,,1
1653,-70.0,422.5,15.5,1085.0,-31003045627.596306,-54270036.81362626,-23749.57523603145,2.254375000000598e-07,5.280353900556367,0.00014076405594278625,-0.7649281116332258,-0.5342308161835225,0.001463938031863799,1.8187980251815688e-07,5.9375000000189485e-09,0.11803293372963537,4.213891228888034e-05,-2.6738366548819905,7.826932179988498,0.0012411081022516502,1.1812235655117014e-09,-1623200550.211203,-2647754.8607762964,-1079.7483687612269,7.936250000000139e-07,19.618839260107706,0.0001498835948493284,-0.544450523252425,-0.8552619913917003,0.001545013794058079,1.4512802463539426e-07,1653,,1
1654,-75.0,430.0,26.0,1115.0,-398969443.6937515,-590491.9936155526,-218.4865471716914,1.2637499999999758e-06,28.816240473176,0.00019883100704208437,-0.4435733244800103,-0.9603429118043469,0.0014251470464430066,8.457194585438666e-08,5.669625000000026e-06,199.57043811903716,0.00019596939063741374,-0.9140651989642136,1.2513655041276133,0.0021999954275427696,2.05907988872472e-09,-15561274.505908938,-17865.847823025935,-5.1263750891185085,5.653062499999962e-06,114.47002481770346,0.00012489606740608244,-0.4832169415357454,-0.8495411280728433,0.00126557440862048,4.351065183752438e-08,1654,,1
1655,-70.0,434.5,23.0,1105.0,-21000608752.062546,-36761008.24558206,-16087.290440299543,2.6312500000006366e-07,5.7519845992907275,4.820667428748204e-05,-0.6719057683141362,-0.6635405596689901,0.0013662578278235112,2.0185844296131873e-07,5.669625000000026e-06,199.57043644466447,0.00019998518999927734,-0.9140722771208236,1.2513275833695623,0.002199995491092428,2.0590819851569256e-09,-15673950.543124618,-17994.53522043799,-5.163118288356035,5.7191874999999595e-06,115.3728305205751,0.00011214042559492242,-0.48814091492535255,-0.8481422096459217,0.0012608071136687188,4.534966013896033e-08,1655,,1
1656,-90.0,436.0,15.5,1080.0,-1631530337.3961363,-2679140.7696681353,-1099.8541607695554,9.226875000000606e-07,23.124654012222454,0.00019341455555882923,-0.6417091858908472,-0.7473816394064063,0.0015664060212600562,1.9405027847273777e-07,5.561000000000064e-06,195.95497721595265,0.0002135202476832086,-0.7974720244715235,1.196621276667809,0.0022023349600902866,1.798589028837968e-09,-11981721.686493436,-13777.00066485063,-3.958777306203819,6.378187500000036e-06,130.8541530814329,7.993714569979877e-05,-0.48034010885603123,-0.9248235631020338,0.0012822416674181537,3.7761022909555344e-08,1656,,1
1657,-67.5,430.0,15.5,1075.0,-336851584.0959823,-498409.8741668596,-184.36153241890258,1.544437500000011e-06,36.092293667987065,1.8302269086318103e-05,-0.5325634459237998,-0.844834305387216,0.0014605691261702948,9.362964160863464e-08,4.328243749999994e-05,1114.9834603563334,6.655236979386404e-05,-0.20854205089203195,0.193938906102181,0.0016100401465388803,1.327044066192724e-09,-337481873.95144945,-492110.51227621426,-179.39500260197755,1.544437500000011e-06,36.09226928854962,0.0001962468458865372,-0.5326059238727802,-0.8453787335664811,0.0014605608016629817,9.363609676106941e-08,1657,,1
